apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-31-059,"2111 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,11126,1940,none,37.427099,-122.147942
124-31-059,"2103 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,11126,1940,none,37.427099,-122.147942
124-31-059,"2119 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,11126,1940,none,37.427099,-122.147942
124-31-059,"2123 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,11126,1940,none,37.427099,-122.147942
124-31-059,"2127 El Camino Real, Palo Alto",calave,1/2mi,CN,,Cannot assess for this zone.,65,11126,1940,none,37.427099,-122.147942
124-31-060,"475 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,8555,1938,none,37.427222,-122.1477
124-31-060,"465 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,8555,1938,none,37.427222,-122.1477
124-31-061,"455 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1922,none,37.427362,-122.147622
124-31-062,"443 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1922,none,37.427476,-122.147528
124-31-062,"447 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1922,none,37.427476,-122.147528
124-31-063,"431 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1947,none,37.427591,-122.147433
124-31-064,"423 Oxford Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,7500,1910,none,37.427706,-122.147339
124-31-065,"418 College Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-065,"416 College Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
